BTC,ETH,BNB,SOL,USDC,XRP,DOGE,ADA,SHIB,AVAX,LINK,DOT,TRX,BCH,NEAR,MATIC,UNI,LTC,PEPE,ICP,DAI,ETC,RNDR,APT,HBAR,IMX,WIF,ATOM,FIL,ARB,XLM,STX,AR,XMR,GRT,FLOKI,FDUSD,TAO,OP,SUI,NOT,VET,MKR
23628.97,1665.22,302.7,22.51,,0.3835,0.08193,0.3601,1.226e-05,17.77,7.536,6.535,0.06984,134.3,2.319,1.2489,6.843,97.78,,6.177,,21.29,1.557,13.4495,0.0707,1.06,,12.778,7.251,,0.088,0.985,10.16,152.7,0.1598,,,,2.769,,,0.02809,926.0
23465.32,1647.86,299.8,22.0,,0.3772,0.08056,0.3504,1.206e-05,17.47,7.275,6.335,0.06972,131.8,2.259,1.2274,6.637,95.39,,5.932,,21.1,1.526,12.8466,0.0689,0.988,,12.466,6.905,,0.0875,0.9262,9.82,151.1,0.1548,,,,2.723,,,0.02727,883.0
22354.34,1569.45,290.4,21.42,,0.3774,0.07684,0.3431,1.139e-05,16.66,6.958,6.037,0.06715,126.4,2.098,1.169,6.272,90.56,,5.591,,20.36,1.356,11.7381,0.064,1.023,,12.016,6.259,,0.0857,0.8477,9.19,145.0,0.1471,,,,2.543,,,0.02542,892.0
22346.57,1566.73,289.6,20.98,,0.3735,0.07462,0.3366,1.113e-05,16.14,6.857,5.917,0.0667,124.4,2.05,1.1277,6.161,89.34,,5.399,,19.95,1.242,11.2656,0.0644,0.995,,11.843,5.915,,0.0837,0.7274,8.87,146.7,0.1417,,,,2.368,,,0.02444,861.0
22430.24,1564.58,288.7,20.97,,0.3668,0.07474,0.337,1.109e-05,16.14,6.945,5.978,0.06725,124.0,2.031,1.136,6.351,89.93,,5.339,,19.75,1.199,11.1566,0.0639,1.05,,12.019,6.139,,0.0827,0.7476,8.71,149.6,0.1406,,,,2.431,,,0.02433,948.0
22410.0,1565.84,287.8,20.63,,0.3695,0.07479,0.3305,1.115e-05,16.52,6.854,5.92,0.06739,124.2,2.055,1.1309,6.337,87.36,,5.319,,19.65,1.215,11.2935,0.0639,1.051,,11.978,6.098,,0.0835,0.7473,8.77,154.0,0.1426,,,,2.517,,,0.02461,910.0
22197.96,1561.96,289.3,20.25,,0.3801,0.07407,0.3306,1.112e-05,16.17,6.881,5.847,0.06629,122.1,2.002,1.1501,6.429,86.29,,5.336,,19.21,1.18,11.1278,0.0626,1.088,,11.75,5.969,,0.0827,0.6755,8.37,150.3,0.1373,,,,2.402,,,0.0236,922.0
21705.44,1532.38,287.1,18.41,,0.3889,0.07112,0.3175,1.093e-05,15.12,6.577,5.601,0.06532,116.6,1.842,1.0507,6.103,82.76,,5.046,,18.25,1.071,10.5158,0.0606,0.962,,10.958,5.782,,0.0816,0.6257,7.61,143.3,0.1249,,,,2.234,,,0.02211,876.0
20362.22,1437.32,277.1,17.33,,0.3706,0.06595,0.3101,1.008e-05,14.41,6.16,5.385,0.05863,110.2,1.788,1.0172,5.722,76.68,,4.768,,17.07,1.042,11.1198,0.0574,0.929,,11.032,5.509,,0.0771,0.5767,7.44,142.3,0.1169,,,,2.202,,,0.02028,809.0
20150.69,1426.44,277.4,18.17,,0.37,0.06572,0.3149,1.028e-05,14.8,6.215,5.549,0.05736,111.5,1.798,1.0575,5.62,71.37,,4.923,,17.43,1.061,10.7913,0.0589,0.837,,11.141,5.313,,0.0781,0.6038,7.66,135.2,0.1163,,,,2.135,,,0.02062,781.0
20455.73,1471.97,276.0,18.07,0.9592,0.3638,0.06604,0.3051,1.029e-05,14.51,6.162,5.463,0.05877,113.6,1.797,1.0563,5.434,69.21,,4.718,,17.15,0.978,10.4335,0.0583,0.814,,11.019,4.95,,0.0788,0.6098,7.54,140.0,0.1141,,,,1.887,,,0.02033,722.0
21997.11,1580.33,288.1,20.2,0.9848,0.3714,0.07051,0.3298,1.073e-05,16.18,6.551,5.895,0.06458,120.2,1.941,1.1491,5.897,76.26,,5.226,,18.72,1.238,11.8899,0.0618,0.932,,11.695,5.714,,0.0822,0.746,8.29,149.9,0.1312,,,,2.345,,,0.02197,896.0
24113.48,1673.45,307.9,20.4,0.9949,0.3724,0.07279,0.3433,1.103e-05,16.47,6.761,6.1,0.06694,126.6,2.036,1.1929,6.09,81.46,,5.364,,19.56,1.277,12.3103,0.0645,0.977,,11.984,6.376,,0.0844,0.7967,8.51,152.3,0.1451,,,,2.615,,,0.02344,909.0
24670.41,1699.4,308.4,20.86,0.9961,0.3724,0.07456,0.3429,1.126e-05,17.15,6.96,6.223,0.06695,131.0,2.116,1.1962,6.317,83.94,,5.529,,20.22,1.383,13.5705,0.0658,1.179,,13.04,6.751,,0.0883,0.9656,8.79,149.6,0.1521,,,,2.71,,,0.0239,859.0
24285.66,1649.96,306.3,19.24,0.996,0.3589,0.06963,0.3241,1.038e-05,15.55,6.546,5.874,0.06517,123.2,1.921,1.1115,5.909,76.43,,5.168,,18.4,1.253,12.2418,0.0599,1.167,,12.416,5.595,,0.0837,0.8771,7.86,146.2,0.1402,,,,2.404,,,0.02183,747.0
24998.78,1673.73,329.4,19.67,0.9975,0.3647,0.07256,0.3249,1.05e-05,15.83,6.656,6.088,0.06512,125.8,1.963,1.1478,5.903,78.86,,5.165,,18.73,1.34,12.3504,0.0609,1.192,,12.814,5.804,,0.0845,0.9104,8.63,149.0,0.1509,,,,2.482,,,0.02234,704.0
27395.13,1789.27,338.9,21.6,0.9977,0.3798,0.07642,0.3494,1.113e-05,17.64,7.207,6.618,0.06763,135.5,2.163,1.2225,6.404,85.51,,5.637,,20.28,1.579,13.5176,0.0653,1.53,,13.166,6.39,,0.0879,1.173,9.44,153.7,0.1632,,,,2.715,,,0.02425,727.0
26907.49,1758.84,331.0,21.2,0.9971,0.3739,0.07295,0.3371,1.071e-05,16.98,6.922,6.313,0.06579,131.1,2.079,1.1704,6.508,83.02,,5.33,,20.76,1.462,12.7853,0.0624,1.49,,12.218,5.874,,0.0856,1.1427,8.91,149.3,0.1547,,,,2.618,,,0.02302,684.0
27972.87,1780.68,336.7,21.86,0.9969,0.3857,0.0745,0.3448,1.091e-05,17.53,7.081,6.451,0.0665,135.7,2.132,1.1662,6.488,83.98,,5.407,,21.06,1.472,13.0176,0.0649,1.456,,12.306,6.281,,0.0877,1.1423,9.04,153.3,0.1539,,,,2.693,,,0.02443,687.0
27717.01,1732.78,332.5,22.13,0.9959,0.3734,0.07137,0.3321,1.044e-05,16.64,7.05,6.092,0.06503,130.3,1.994,1.1027,6.176,78.05,,5.106,,19.57,1.341,12.1027,0.0615,1.252,,11.545,5.72,,0.0863,1.1716,8.49,151.8,0.1488,,,,2.473,,,0.02295,667.0
28105.47,1801.23,334.4,22.53,0.9969,0.4696,0.0766,0.3696,1.093e-05,17.44,7.375,6.363,0.067,134.0,2.068,1.1526,6.421,82.48,,5.256,,20.9,1.338,12.26,0.0639,1.269,,11.915,5.923,,0.0963,1.1227,8.83,153.1,0.1517,,,,2.637,,,0.02377,690.0
27250.97,1734.33,321.1,21.42,0.9972,0.4213,0.07385,0.3596,1.058e-05,16.74,7.173,6.053,0.05978,125.9,1.946,1.1077,6.071,87.27,,5.089,,20.03,1.374,13.1252,0.0603,1.176,,11.327,5.651,,0.0908,1.1555,8.45,148.6,0.1429,,,,2.526,,,0.02247,669.0
28295.41,1813.79,329.4,22.16,0.9979,0.4438,0.07736,0.3715,1.084e-05,17.54,7.61,6.321,0.0652,128.6,2.044,1.136,6.238,93.61,,5.198,,20.78,1.332,13.2821,0.0623,1.21,,11.683,5.925,1.3217,0.0924,1.1702,8.55,156.5,0.152,,,,2.484,,,0.02358,680.0
